song,artist,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Close to the Edge (i. The Solid Time of Change, ii. Total Mass Retain, iii. I Get up I Get Down, iv. Seasons of Man) - 2003 Remaster",Yes,47dPsSo7cEDNkvIOSB4O2k,0.222,0.597,5.0,-10.924,1.0,0.056,0.265,0.155,0.411,0.251,80.654,audio_features,47dPsSo7cEDNkvIOSB4O2k,spotify:track:47dPsSo7cEDNkvIOSB4O2k,https://api.spotify.com/v1/tracks/47dPsSo7cEDNkvIOSB4O2k,https://api.spotify.com/v1/audio-analysis/47dPsSo7cEDNkvIOSB4O2k,1121253.0,3.0
These Foolish Things (Remind Me of You) (with Teddy Wilson & His Orchestra),Billie Holiday,4eOYXWqlWbM9EEE9kvXMzM,0.582,0.222,0.0,-12.535,1.0,0.042,0.931,0.0007,0.328,0.534,95.474,audio_features,4eOYXWqlWbM9EEE9kvXMzM,spotify:track:4eOYXWqlWbM9EEE9kvXMzM,https://api.spotify.com/v1/tracks/4eOYXWqlWbM9EEE9kvXMzM,https://api.spotify.com/v1/audio-analysis/4eOYXWqlWbM9EEE9kvXMzM,197467.0,4.0
These Foolish Things (Remind Me of You) (with Teddy Wilson & His Orchestra),Teddy Wilson,4eOYXWqlWbM9EEE9kvXMzM,0.582,0.222,0.0,-12.535,1.0,0.042,0.931,0.0007,0.328,0.534,95.474,audio_features,4eOYXWqlWbM9EEE9kvXMzM,spotify:track:4eOYXWqlWbM9EEE9kvXMzM,https://api.spotify.com/v1/tracks/4eOYXWqlWbM9EEE9kvXMzM,https://api.spotify.com/v1/audio-analysis/4eOYXWqlWbM9EEE9kvXMzM,197467.0,4.0
Wouldn't It Be Nice - Remastered 1999,The Beach Boys,0cx32rX0uZvcJUP92Wkj2y,0.429,0.543,5.0,-9.139,1.0,0.0347,0.536,2.54e-05,0.125,0.693,122.619,audio_features,0cx32rX0uZvcJUP92Wkj2y,spotify:track:0cx32rX0uZvcJUP92Wkj2y,https://api.spotify.com/v1/tracks/0cx32rX0uZvcJUP92Wkj2y,https://api.spotify.com/v1/audio-analysis/0cx32rX0uZvcJUP92Wkj2y,145107.0,4.0
Pink Moon,Nick Drake,16qzGrIMWoxerw2gnW0zuv,0.638,0.256,3.0,-15.68,1.0,0.0492,0.819,0.0707,0.145,0.438,82.479,audio_features,16qzGrIMWoxerw2gnW0zuv,spotify:track:16qzGrIMWoxerw2gnW0zuv,https://api.spotify.com/v1/tracks/16qzGrIMWoxerw2gnW0zuv,https://api.spotify.com/v1/audio-analysis/16qzGrIMWoxerw2gnW0zuv,123333.0,4.0
Little Wing,Jimi Hendrix,1Eolhana7nKHYpcYpdVcT5,0.515,0.534,6.0,-8.045,1.0,0.0768,0.181,0.00278,0.0547,0.426,70.776,audio_features,1Eolhana7nKHYpcYpdVcT5,spotify:track:1Eolhana7nKHYpcYpdVcT5,https://api.spotify.com/v1/tracks/1Eolhana7nKHYpcYpdVcT5,https://api.spotify.com/v1/audio-analysis/1Eolhana7nKHYpcYpdVcT5,145747.0,4.0
No One Loves Me & Neither Do I,Them Crooked Vultures,0Ws3haBpuaBIaRnWKrkNCg,0.232,0.895,9.0,-5.449,0.0,0.101,0.0309,2.86e-06,0.129,0.603,175.744,audio_features,0Ws3haBpuaBIaRnWKrkNCg,spotify:track:0Ws3haBpuaBIaRnWKrkNCg,https://api.spotify.com/v1/tracks/0Ws3haBpuaBIaRnWKrkNCg,https://api.spotify.com/v1/audio-analysis/0Ws3haBpuaBIaRnWKrkNCg,310387.0,4.0
All Apologies - Live,Nirvana,3bH8PZsfbCRIoeNiFm7JmU,0.569,0.579,1.0,-10.988,1.0,0.0716,0.5,2.79e-05,0.109,0.407,108.998,audio_features,3bH8PZsfbCRIoeNiFm7JmU,spotify:track:3bH8PZsfbCRIoeNiFm7JmU,https://api.spotify.com/v1/tracks/3bH8PZsfbCRIoeNiFm7JmU,https://api.spotify.com/v1/audio-analysis/3bH8PZsfbCRIoeNiFm7JmU,263227.0,4.0
Electioneering,Radiohead,6uLAKAI1QhLokxmdVtZJd0,0.185,0.889,9.0,-5.491,0.0,0.0743,0.00267,0.0981,0.291,0.331,77.555,audio_features,6uLAKAI1QhLokxmdVtZJd0,spotify:track:6uLAKAI1QhLokxmdVtZJd0,https://api.spotify.com/v1/tracks/6uLAKAI1QhLokxmdVtZJd0,https://api.spotify.com/v1/audio-analysis/6uLAKAI1QhLokxmdVtZJd0,230627.0,4.0
What's Going On,Donny Hathaway,2kXshT838nizb8yB8a2TuD,0.452,0.713,4.0,-9.367,1.0,0.0489,0.472,0.00086,0.977,0.652,95.198,audio_features,2kXshT838nizb8yB8a2TuD,spotify:track:2kXshT838nizb8yB8a2TuD,https://api.spotify.com/v1/tracks/2kXshT838nizb8yB8a2TuD,https://api.spotify.com/v1/audio-analysis/2kXshT838nizb8yB8a2TuD,324040.0,4.0
Smooth Sailing,Queens of the Stone Age,1Dhi8OBMSyukjUQ93uBfNz,0.587,0.874,2.0,-3.597,1.0,0.0544,0.0546,0.000452,0.0511,0.469,95.017,audio_features,1Dhi8OBMSyukjUQ93uBfNz,spotify:track:1Dhi8OBMSyukjUQ93uBfNz,https://api.spotify.com/v1/tracks/1Dhi8OBMSyukjUQ93uBfNz,https://api.spotify.com/v1/audio-analysis/1Dhi8OBMSyukjUQ93uBfNz,291400.0,4.0
If 6 Was 9,Jimi Hendrix,0J3CHAStO3pNGTnYnxKZod,0.39,0.648,8.0,-9.789,1.0,0.137,0.00428,0.0531,0.689,0.493,103.496,audio_features,0J3CHAStO3pNGTnYnxKZod,spotify:track:0J3CHAStO3pNGTnYnxKZod,https://api.spotify.com/v1/tracks/0J3CHAStO3pNGTnYnxKZod,https://api.spotify.com/v1/audio-analysis/0J3CHAStO3pNGTnYnxKZod,334520.0,3.0
I Can't Hear You,The Dead Weather,3O1rkVw6tpDizXzHqMZfh5,0.529,0.754,0.0,-3.167,0.0,0.182,0.0482,0.00598,0.108,0.422,79.463,audio_features,3O1rkVw6tpDizXzHqMZfh5,spotify:track:3O1rkVw6tpDizXzHqMZfh5,https://api.spotify.com/v1/tracks/3O1rkVw6tpDizXzHqMZfh5,https://api.spotify.com/v1/audio-analysis/3O1rkVw6tpDizXzHqMZfh5,215093.0,4.0
I'm Waiting For The Man - Album Version (Mono),The Velvet Underground,52hcgyr8qsd0byumzbdS0l,0.661,0.664,2.0,-9.307,1.0,0.0422,0.0768,0.918,0.119,0.924,125.188,audio_features,52hcgyr8qsd0byumzbdS0l,spotify:track:52hcgyr8qsd0byumzbdS0l,https://api.spotify.com/v1/tracks/52hcgyr8qsd0byumzbdS0l,https://api.spotify.com/v1/audio-analysis/52hcgyr8qsd0byumzbdS0l,284533.0,4.0
Heroin - Album Version (Mono),The Velvet Underground,2f0190Rq3sAgECdGK11yIA,0.207,0.859,8.0,-7.47,0.0,0.116,0.285,0.844,0.118,0.176,145.648,audio_features,2f0190Rq3sAgECdGK11yIA,spotify:track:2f0190Rq3sAgECdGK11yIA,https://api.spotify.com/v1/tracks/2f0190Rq3sAgECdGK11yIA,https://api.spotify.com/v1/audio-analysis/2f0190Rq3sAgECdGK11yIA,432107.0,4.0
Run Run Run,The Velvet Underground,2J8Mbdpem8CiSZKRoZOIeG,0.458,0.714,7.0,-11.065,1.0,0.129,0.69,0.0502,0.0663,0.49,143.818,audio_features,2J8Mbdpem8CiSZKRoZOIeG,spotify:track:2J8Mbdpem8CiSZKRoZOIeG,https://api.spotify.com/v1/tracks/2J8Mbdpem8CiSZKRoZOIeG,https://api.spotify.com/v1/audio-analysis/2J8Mbdpem8CiSZKRoZOIeG,262360.0,4.0
Run Run Run,Nico,2J8Mbdpem8CiSZKRoZOIeG,0.458,0.714,7.0,-11.065,1.0,0.129,0.69,0.0502,0.0663,0.49,143.818,audio_features,2J8Mbdpem8CiSZKRoZOIeG,spotify:track:2J8Mbdpem8CiSZKRoZOIeG,https://api.spotify.com/v1/tracks/2J8Mbdpem8CiSZKRoZOIeG,https://api.spotify.com/v1/audio-analysis/2J8Mbdpem8CiSZKRoZOIeG,262360.0,4.0
